Condition,Female,Age Group,BMI category,Mean,
heart_disease,1,7,3,0.0479,
heart_disease,1,7,4,0.0669,
heart_disease,1,8,1,0.0822,
heart_disease,1,8,2,0.0397,
heart_disease,1,8,3,0.0573,
heart_disease,1,8,4,0.0898,
heart_disease,1,9,1,0.0918,
heart_disease,1,9,2,0.0528,
heart_disease,1,9,3,0.0750,
heart_disease,1,9,4,0.1140,
heart_disease,1,10,1,0.0971,
heart_disease,1,10,2,0.0689,
heart_disease,1,10,3,0.0820,
heart_disease,1,10,4,0.1290,
heart_disease,1,11,1,0.0992,
heart_disease,1,11,2,0.0828,
heart_disease,1,11,3,0.1090,
heart_disease,1,11,4,0.1500,
heart_disease,1,12,1,0.1410,
heart_disease,1,12,2,0.1130,
heart_disease,1,12,3,0.1600,
heart_disease,1,12,4,0.1980,
heart_disease,1,13,1,0.1540,
heart_disease,1,13,2,0.1690,
heart_disease,1,13,3,0.1760,
heart_disease,1,13,4,0.2570,
skin_cancer,0,1,1,0.0033,
skin_cancer,0,1,2,0.0033,
skin_cancer,0,1,3,0.0037,
skin_cancer,0,1,4,0.0036,
skin_cancer,0,2,1,0.0101,
skin_cancer,0,2,2,0.0042,
skin_cancer,0,2,3,0.0048,
skin_cancer,0,2,4,0.0034,
skin_cancer,0,3,1,0.0046,
skin_cancer,0,3,2,0.0053,
skin_cancer,0,3,3,0.0060,
skin_cancer,0,3,4,0.0061,
skin_cancer,0,4,1,0.0099,
skin_cancer,0,4,2,0.0104,
skin_cancer,0,4,3,0.0088,
skin_cancer,0,4,4,0.0086,
skin_cancer,0,5,1,0.0126,
skin_cancer,0,5,2,0.0148,
skin_cancer,0,5,3,0.0169,
skin_cancer,0,5,4,0.0147,
skin_cancer,0,6,1,0.0206,
skin_cancer,0,6,2,0.0262,
skin_cancer,0,6,3,0.0321,
skin_cancer,0,6,4,0.0232,
skin_cancer,0,7,1,0.0395,
skin_cancer,0,7,2,0.0484,
skin_cancer,0,7,3,0.0478,
skin_cancer,0,7,4,0.0499,
skin_cancer,0,8,1,0.0529,
skin_cancer,0,8,2,0.0872,
skin_cancer,0,8,3,0.0690,
skin_cancer,0,8,4,0.0600,
skin_cancer,0,9,1,0.0899,
skin_cancer,0,9,2,0.0969,
skin_cancer,0,9,3,0.1040,
skin_cancer,0,9,4,0.1010,
skin_cancer,0,10,1,0.0932,
skin_cancer,0,10,2,0.1400,
skin_cancer,0,10,3,0.1410,
skin_cancer,0,10,4,0.1330,
skin_cancer,0,11,1,0.0863,
skin_cancer,0,11,2,0.2070,
skin_cancer,0,11,3,0.2020,
skin_cancer,0,11,4,0.1910,
skin_cancer,0,12,1,0.1680,
skin_cancer,0,12,2,0.2250,
skin_cancer,0,12,3,0.2510,
skin_cancer,0,12,4,0.2510,
skin_cancer,0,13,1,0.2290,
skin_cancer,0,13,2,0.2820,
skin_cancer,0,13,3,0.3030,
skin_cancer,0,13,4,0.2720,
skin_cancer,1,1,1,0.0047,
skin_cancer,1,1,2,0.0041,
skin_cancer,1,1,3,0.0035,
skin_cancer,1,1,4,0.0024,
skin_cancer,1,2,1,0.0098,
skin_cancer,1,2,2,0.0067,
skin_cancer,1,2,3,0.0052,
skin_cancer,1,2,4,0.0047,
skin_cancer,1,3,1,0.0153,
skin_cancer,1,3,2,0.0105,
skin_cancer,1,3,3,0.0094,
skin_cancer,1,3,4,0.0072,
skin_cancer,1,4,1,0.0157,
skin_cancer,1,4,2,0.0179,
skin_cancer,1,4,3,0.0151,
skin_cancer,1,4,4,0.0100,
skin_cancer,1,5,1,0.0335,
skin_cancer,1,5,2,0.0299,
skin_cancer,1,5,3,0.0188,
skin_cancer,1,5,4,0.0169,
skin_cancer,1,6,1,0.0554,
skin_cancer,1,6,2,0.0501,
skin_cancer,1,6,3,0.0457,
skin_cancer,1,6,4,0.0231,
skin_cancer,1,7,1,0.0511,
skin_cancer,1,7,2,0.0630,
skin_cancer,1,7,3,0.0475,
skin_cancer,1,7,4,0.0379,
skin_cancer,1,8,1,0.0919,
skin_cancer,1,8,2,0.0862,
skin_cancer,1,8,3,0.0670,
skin_cancer,1,8,4,0.0649,
skin_cancer,1,9,1,0.1070,
skin_cancer,1,9,2,0.0982,
skin_cancer,1,9,3,0.0836,
skin_cancer,1,9,4,0.0685,
skin_cancer,1,10,1,0.1120,
skin_cancer,1,10,2,0.1210,
skin_cancer,1,10,3,0.1140,
skin_cancer,1,10,4,0.0953,
skin_cancer,1,11,1,0.1610,
skin_cancer,1,11,2,0.1600,
skin_cancer,1,11,3,0.1400,
skin_cancer,1,11,4,0.1210,
skin_cancer,1,12,1,0.1610,
skin_cancer,1,12,2,0.1830,
skin_cancer,1,12,3,0.1710,
skin_cancer,1,12,4,0.1580,
skin_cancer,1,13,1,0.1720,
skin_cancer,1,13,2,0.2000,
skin_cancer,1,13,3,0.1890,
skin_cancer,1,13,4,0.1710,
other_cancer,0,1,1,0.0082,
other_cancer,0,1,2,0.0039,
other_cancer,0,1,3,0.0051,
other_cancer,0,1,4,0.0089,
other_cancer,0,2,1,0.0209,
other_cancer,0,2,2,0.0065,
other_cancer,0,2,3,0.0049,
other_cancer,0,2,4,0.0081,
other_cancer,0,3,1,0.0112,
other_cancer,0,3,2,0.0081,
other_cancer,0,3,3,0.0079,
other_cancer,0,3,4,0.0085,
other_cancer,0,4,1,0.0113,
other_cancer,0,4,2,0.0108,
other_cancer,0,4,3,0.0087,
other_cancer,0,4,4,0.0107,
other_cancer,0,5,1,0.0285,
other_cancer,0,5,2,0.0136,
other_cancer,0,5,3,0.0121,
other_cancer,0,5,4,0.0183,
other_cancer,0,6,1,0.0401,
other_cancer,0,6,2,0.0236,
other_cancer,0,6,3,0.0177,
other_cancer,0,6,4,0.0216,
other_cancer,0,7,1,0.0548,
other_cancer,0,7,2,0.0360,
other_cancer,0,7,3,0.0306,
other_cancer,0,7,4,0.0337,
other_cancer,0,8,1,0.1170,
other_cancer,0,8,2,0.0575,
other_cancer,0,8,3,0.0486,
other_cancer,0,8,4,0.0583,
other_cancer,0,9,1,0.1430,
other_cancer,0,9,2,0.0838,
other_cancer,0,9,3,0.0809,
other_cancer,0,9,4,0.0853,
other_cancer,0,10,1,0.1670,
other_cancer,0,10,2,0.1260,
other_cancer,0,10,3,0.1260,
other_cancer,0,10,4,0.1220,
other_cancer,0,11,1,0.3070,
other_cancer,0,11,2,0.1770,
other_cancer,0,11,3,0.1760,
other_cancer,0,11,4,0.1900,
other_cancer,0,12,1,0.1970,
other_cancer,0,12,2,0.2250,
other_cancer,0,12,3,0.2180,
other_cancer,0,12,4,0.2250,
other_cancer,0,13,1,0.2170,
other_cancer,0,13,2,0.2350,
other_cancer,0,13,3,0.2390,
other_cancer,0,13,4,0.2430,
other_cancer,1,1,1,0.0056,
other_cancer,1,1,2,0.0077,
other_cancer,1,1,3,0.0080,
other_cancer,1,1,4,0.0140,
other_cancer,1,2,1,0.0276,
other_cancer,1,2,2,0.0184,
other_cancer,1,2,3,0.0194,
other_cancer,1,2,4,0.0220,
other_cancer,1,3,1,0.0516,
other_cancer,1,3,2,0.0275,
other_cancer,1,3,3,0.0283,
other_cancer,1,3,4,0.0366,
other_cancer,1,4,1,0.0545,
other_cancer,1,4,2,0.0332,
other_cancer,1,4,3,0.0326,
other_cancer,1,4,4,0.0375,
other_cancer,1,5,1,0.0869,
other_cancer,1,5,2,0.0448,
other_cancer,1,5,3,0.0449,
other_cancer,1,5,4,0.0595,
other_cancer,1,6,1,0.1110,
other_cancer,1,6,2,0.0545,
other_cancer,1,6,3,0.0579,
other_cancer,1,6,4,0.0647,
other_cancer,1,7,1,0.0948,
other_cancer,1,7,2,0.0737,
other_cancer,1,7,3,0.0715,
other_cancer,1,7,4,0.0858,
other_cancer,1,8,1,0.1210,
other_cancer,1,8,2,0.0957,
other_cancer,1,8,3,0.0909,
other_cancer,1,8,4,0.1040,
other_cancer,1,9,1,0.1290,
other_cancer,1,9,2,0.1040,
other_cancer,1,9,3,0.1080,
other_cancer,1,9,4,0.1190,
other_cancer,1,10,1,0.1540,
other_cancer,1,10,2,0.1450,
other_cancer,1,10,3,0.1450,
other_cancer,1,10,4,0.1480,
other_cancer,1,11,1,0.1750,
other_cancer,1,11,2,0.1610,
other_cancer,1,11,3,0.1590,
other_cancer,1,11,4,0.1820,
other_cancer,1,12,1,0.1910,
other_cancer,1,12,2,0.1920,
other_cancer,1,12,3,0.1920,
other_cancer,1,12,4,0.1960,
other_cancer,1,13,1,0.1940,
other_cancer,1,13,2,0.1770,
other_cancer,1,13,3,0.1840,
other_cancer,1,13,4,0.1930,
diabetes,0,1,1,0.0105,
diabetes,0,1,2,0.0070,
diabetes,0,1,3,0.0097,
diabetes,0,1,4,0.0156,
diabetes,0,2,1,0.0099,
diabetes,0,2,2,0.0080,
diabetes,0,2,3,0.0097,
diabetes,0,2,4,0.0252,
diabetes,0,3,1,0.0176,
diabetes,0,3,2,0.0130,
