Age Group,Race,BMI Category,Gender,Mean
4,6,1,0,0.000431
4,6,1,1,0.003810
4,6,2,0,0.003630
4,6,2,1,0.003440
4,6,3,0,0.003100
4,6,3,1,0.001750
4,6,4,0,0.005480
4,6,4,1,0.002310
4,7,1,0,0.000000
4,7,1,1,0.111000
4,7,2,0,0.013600
4,7,2,1,0.005240
4,7,3,0,0.007150
4,7,3,1,0.006750
4,7,4,0,0.004100
4,7,4,1,0.017300
5,1,1,0,0.024800
5,1,1,1,0.053600
5,1,2,0,0.023700
5,1,2,1,0.043300
5,1,3,0,0.026300
5,1,3,1,0.031600
5,1,4,0,0.022600
5,1,4,1,0.030100
5,2,1,0,0.000000
5,2,1,1,0.000000
5,2,2,0,0.001620
5,2,2,1,0.001790
5,2,3,0,0.003920
5,2,3,1,0.000847
5,2,4,0,0.000401
5,2,4,1,0.002780
5,3,1,0,0.045900
5,3,1,1,0.000000
5,3,2,0,0.008440
5,3,2,1,0.017100
5,3,3,0,0.012400
5,3,3,1,0.015500
5,3,4,0,0.010600
5,3,4,1,0.010100
5,4,1,0,0.000000
5,4,1,1,0.000000
5,4,2,0,0.001350
5,4,2,1,0.000345
5,4,3,0,0.000527
5,4,3,1,0.000378
5,4,4,0,0.000000
5,4,4,1,0.000000
5,5,1,0,0.000000
5,5,1,1,0.000000
5,5,2,0,0.015000
5,5,2,1,0.006080
5,5,3,0,0.000000
5,5,3,1,0.015900
5,5,4,0,0.007000
5,5,4,1,0.026900
5,6,1,0,0.000000
5,6,1,1,0.001500
5,6,2,0,0.003530
5,6,2,1,0.017700
5,6,3,0,0.004630
5,6,3,1,0.003160
5,6,4,0,0.004450
5,6,4,1,0.003960
5,7,1,0,0.000000
5,7,1,1,0.000000
5,7,2,0,0.016000
5,7,2,1,0.024800
5,7,3,0,0.012400
5,7,3,1,0.022100
5,7,4,0,0.020300
5,7,4,1,0.013000
6,1,1,0,0.032100
6,1,1,1,0.084400
6,1,2,0,0.039700
6,1,2,1,0.066100
6,1,3,0,0.047300
6,1,3,1,0.073500
6,1,4,0,0.032700
6,1,4,1,0.037800
6,2,1,0,0.000000
6,2,1,1,0.000000
6,2,2,0,0.006770
6,2,2,1,0.009110
6,2,3,0,0.002540
6,2,3,1,0.003400
6,2,4,0,0.003150
6,2,4,1,0.003500
6,3,1,0,0.000000
6,3,1,1,0.035700
6,3,2,0,0.054100
6,3,2,1,0.031300
6,3,3,0,0.024000
6,3,3,1,0.012500
6,3,4,0,0.022200
6,3,4,1,0.016200
6,4,1,0,0.000000
6,4,1,1,0.004430
6,4,2,0,0.000931
6,4,2,1,0.000853
6,4,3,0,0.003510
6,4,3,1,0.000825
6,4,4,0,0.000807
6,4,4,1,0.001390
6,5,1,0,0.000000
6,5,1,1,0.000000
6,5,2,0,0.000000
6,5,2,1,0.001040
6,5,3,0,0.001500
6,5,3,1,0.000784
6,5,4,0,0.000375
6,5,4,1,0.000000
6,6,1,0,0.009200
6,6,1,1,0.001610
6,6,2,0,0.006460
6,6,2,1,0.037300
6,6,3,0,0.010500
6,6,3,1,0.005650
6,6,4,0,0.007450
6,6,4,1,0.005570
6,7,1,0,0.028500
6,7,1,1,0.018600
6,7,2,0,0.017400
6,7,2,1,0.025400
6,7,3,0,0.024400
6,7,3,1,0.023000
6,7,4,0,0.044800
6,7,4,1,0.018400
7,1,1,0,0.052500
7,1,1,1,0.058100
7,1,2,0,0.068000
7,1,2,1,0.083000
7,1,3,0,0.067900
7,1,3,1,0.067700
7,1,4,0,0.070800
7,1,4,1,0.059000
7,2,1,0,0.055900
7,2,1,1,0.019800
7,2,2,0,0.011900
7,2,2,1,0.004490
7,2,3,0,0.009000
7,2,3,1,0.002500
7,2,4,0,0.004670
7,2,4,1,0.003220
7,3,1,0,0.000000
7,3,1,1,0.019600
7,3,2,0,0.029000
7,3,2,1,0.064200
7,3,3,0,0.031300
7,3,3,1,0.034700
7,3,4,0,0.042100
7,3,4,1,0.029500
7,4,1,0,0.000000
7,4,1,1,0.010000
7,4,2,0,0.002960
7,4,2,1,0.001320
7,4,3,0,0.005980
7,4,3,1,0.005780
7,4,4,0,0.001180
7,4,4,1,0.002500
7,5,1,0,0.043000
7,5,1,1,0.000000
7,5,2,0,0.001710
7,5,2,1,0.036900
7,5,3,0,0.003910
7,5,3,1,0.001450
7,5,4,0,0.007680
7,5,4,1,0.003840
7,6,1,0,0.006940
7,6,1,1,0.008160
7,6,2,0,0.015900
7,6,2,1,0.013800
7,6,3,0,0.009890
7,6,3,1,0.020100
7,6,4,0,0.011300
7,6,4,1,0.008350
7,7,1,0,0.017000
7,7,1,1,0.033100
7,7,2,0,0.043900
7,7,2,1,0.042400
7,7,3,0,0.032100
7,7,3,1,0.030000
7,7,4,0,0.046500
7,7,4,1,0.040200
8,1,1,0,0.076400
8,1,1,1,0.111000
8,1,2,0,0.121000
8,1,2,1,0.107000
8,1,3,0,0.096900
8,1,3,1,0.091400
8,1,4,0,0.083300
8,1,4,1,0.095900
8,2,1,0,0.011400
8,2,1,1,0.002850
8,2,2,0,0.006410
8,2,2,1,0.006750
8,2,3,0,0.003940
8,2,3,1,0.004700
8,2,4,0,0.004550
8,2,4,1,0.005460
8,3,1,0,0.039000
8,3,1,1,0.016800
8,3,2,0,0.070400
8,3,2,1,0.042500
8,3,3,0,0.061700
8,3,3,1,0.043700
8,3,4,0,0.055100
8,3,4,1,0.039400
8,4,1,0,0.018300
8,4,1,1,0.000000
8,4,2,0,0.007230
8,4,2,1,0.011900
8,4,3,0,0.012500
8,4,3,1,0.012900
8,4,4,0,0.004180
8,4,4,1,0.043700
8,5,1,0,0.000000
8,5,1,1,0.000000
8,5,2,0,0.000561
8,5,2,1,0.005360
8,5,3,0,0.007590
8,5,3,1,0.000414
8,5,4,0,0.019700
8,5,4,1,0.002530
8,6,1,0,0.003850
8,6,1,1,0.006060
8,6,2,0,0.031500
8,6,2,1,0.021300
8,6,3,0,0.010900
8,6,3,1,0.020900
8,6,4,0,0.011300
8,6,4,1,0.014400
8,7,1,0,0.026500
8,7,1,1,0.198000
8,7,2,0,0.062100
8,7,2,1,0.065000
8,7,3,0,0.047000
8,7,3,1,0.045700
8,7,4,0,0.052200
8,7,4,1,0.038200
9,1,1,0,0.168000
9,1,1,1,0.139000
9,1,2,0,0.132000
9,1,2,1,0.127000
9,1,3,0,0.137000
9,1,3,1,0.116000
9,1,4,0,0.134000
9,1,4,1,0.094200
9,2,1,0,0.011800
9,2,1,1,0.015000
9,2,2,0,0.007950
9,2,2,1,0.007350
9,2,3,0,0.006990
9,2,3,1,0.006230
9,2,4,0,0.007510
9,2,4,1,0.006010
9,3,1,0,0.021400
9,3,1,1,0.073300
9,3,2,0,0.062400
9,3,2,1,0.040100
9,3,3,0,0.054000
9,3,3,1,0.058300
9,3,4,0,0.049500
9,3,4,1,0.078200
9,4,1,0,0.002650
9,4,1,1,0.002560
9,4,2,0,0.001990
9,4,2,1,0.004380
9,4,3,0,0.003810
9,4,3,1,0.002960
9,4,4,0,0.016300
9,4,4,1,0.003430
9,5,1,0,0.000000
9,5,1,1,0.000000
9,5,2,0,0.005790
9,5,2,1,0.024600
9,5,3,0,0.034100
9,5,3,1,0.031300
9,5,4,0,0.010400
9,5,4,1,0.015800
9,6,1,0,0.034400
9,6,1,1,0.031100
9,6,2,0,0.014900
9,6,2,1,0.024900
9,6,3,0,0.021000
9,6,3,1,0.014300
9,6,4,0,0.016500
9,6,4,1,0.019800
9,7,1,0,0.046900
9,7,1,1,0.121000
9,7,2,0,0.169000
9,7,2,1,0.067900
9,7,3,0,0.081600
9,7,3,1,0.060000
9,7,4,0,0.074400
9,7,4,1,0.057700
10,1,1,0,0.136000
10,1,1,1,0.132000
10,1,2,0,0.188000
10,1,2,1,0.147000
10,1,3,0,0.182000
10,1,3,1,0.144000
10,1,4,0,0.168000
10,1,4,1,0.128000
10,2,1,0,0.026200
10,2,1,1,0.003370
10,2,2,0,0.002850
10,2,2,1,0.006080
10,2,3,0,0.007330
10,2,3,1,0.007590
10,2,4,0,0.012300
10,2,4,1,0.007900
10,3,1,0,0.000000
10,3,1,1,0.000000
10,3,2,0,0.061500
10,3,2,1,0.054400
10,3,3,0,0.074500
10,3,3,1,0.055800
10,3,4,0,0.104000
10,3,4,1,0.036300
10,4,1,0,0.084800
10,4,1,1,0.097400
10,4,2,0,0.006530
10,4,2,1,0.015100
10,4,3,0,0.008220
10,4,3,1,0.002820
10,4,4,0,0.013100
10,4,4,1,0.003750
10,5,1,0,0.063400
10,5,1,1,0.481000
10,5,2,0,0.015500
10,5,2,1,0.026000
10,5,3,0,0.051800
10,5,3,1,0.000156
10,5,4,0,0.046100
10,5,4,1,0.007330
10,6,1,0,0.000477
10,6,1,1,0.020500
10,6,2,0,0.035600
10,6,2,1,0.021100
10,6,3,0,0.024400
10,6,3,1,0.049700
10,6,4,0,0.023400
10,6,4,1,0.032400
10,7,1,0,0.067400
10,7,1,1,0.060800
10,7,2,0,0.110000
10,7,2,1,0.104000
10,7,3,0,0.145000
10,7,3,1,0.072200
10,7,4,0,0.108000
10,7,4,1,0.082500
11,1,1,0,0.167000
11,1,1,1,0.209000
11,1,2,0,0.265000
11,1,2,1,0.198000
11,1,3,0,0.255000
11,1,3,1,0.177000
11,1,4,0,0.232000
11,1,4,1,0.162000
11,2,1,0,0.030100
11,2,1,1,0.008270
11,2,2,0,0.019400
11,2,2,1,0.005360
11,2,3,0,0.008300
11,2,3,1,0.006400
11,2,4,0,0.013300
11,2,4,1,0.014200
11,3,1,0,0.012600
11,3,1,1,0.089200
11,3,2,0,0.129000
11,3,2,1,0.090000
11,3,3,0,0.138000
11,3,3,1,0.097000
11,3,4,0,0.146000
11,3,4,1,0.083000
11,4,1,0,0.000000
11,4,1,1,0.003340
11,4,2,0,0.002290
11,4,2,1,0.004600
11,4,3,0,0.011000
11,4,3,1,0.004830
11,4,4,0,0.009540
11,4,4,1,0.024800
11,5,1,0,0.000000
11,5,1,1,0.000000
11,5,2,0,0.009430
11,5,2,1,0.027200
11,5,3,0,0.002860
11,5,3,1,0.012500
11,5,4,0,0.095300
11,5,4,1,0.000000
11,6,1,0,0.003010
11,6,1,1,0.022400
11,6,2,0,0.040800
11,6,2,1,0.038700
11,6,3,0,0.032200
11,6,3,1,0.037700
11,6,4,0,0.048200
11,6,4,1,0.027300
11,7,1,0,0.083600
11,7,1,1,0.032900
11,7,2,0,0.124000
11,7,2,1,0.108000
11,7,3,0,0.155000
11,7,3,1,0.091200
11,7,4,0,0.195000
11,7,4,1,0.097700
12,1,1,0,0.254000
12,1,1,1,0.205000
12,1,2,0,0.290000
12,1,2,1,0.219000
12,1,3,0,0.294000
12,1,3,1,0.215000
12,1,4,0,0.298000
12,1,4,1,0.205000
12,2,1,0,0.021000
12,2,1,1,0.006750
12,2,2,0,0.018000
12,2,2,1,0.007120
12,2,3,0,0.017500
12,2,3,1,0.006910
12,2,4,0,0.019500
12,2,4,1,0.010600
12,3,1,0,0.145000
12,3,1,1,0.128000
12,3,2,0,0.197000
12,3,2,1,0.088000
12,3,3,0,0.170000
12,3,3,1,0.110000
12,3,4,0,0.205000
12,3,4,1,0.068300
12,4,1,0,0.000000
12,4,1,1,0.004170
12,4,2,0,0.006930
12,4,2,1,0.005500
12,4,3,0,0.029500
12,4,3,1,0.007730
12,4,4,0,0.063300
12,4,4,1,0.024500
12,5,1,0,0.000000
12,5,1,1,0.000000
12,5,2,0,0.007680
12,5,2,1,0.021800
12,5,3,0,0.061100
12,5,3,1,0.009100
12,5,4,0,0.028400
12,5,4,1,0.005520
12,6,1,0,0.025700
12,6,1,1,0.012000
12,6,2,0,0.059300
12,6,2,1,0.045800
12,6,3,0,0.085100
12,6,3,1,0.028800
12,6,4,0,0.067200
12,6,4,1,0.035400
12,7,1,0,0.078300
12,7,1,1,0.146000
12,7,2,0,0.181000
12,7,2,1,0.148000
12,7,3,0,0.247000
12,7,3,1,0.147000
12,7,4,0,0.282000
12,7,4,1,0.115000
13,1,1,0,0.295000
13,1,1,1,0.196000
13,1,2,0,0.346000
13,1,2,1,0.237000
13,1,3,0,0.348000
13,1,3,1,0.224000
13,1,4,0,0.323000
13,1,4,1,0.228000
13,2,1,0,0.031800
13,2,1,1,0.022900
13,2,2,0,0.026500
13,2,2,1,0.010200
13,2,3,0,0.015300
13,2,3,1,0.013900
13,2,4,0,0.021300
13,2,4,1,0.006640
13,3,1,0,0.119000
13,3,1,1,0.173000
13,3,2,0,0.174000
13,3,2,1,0.126000
13,3,3,0,0.209000
13,3,3,1,0.154000
13,3,4,0,0.280000
13,3,4,1,0.069200
13,4,1,0,0.009720
13,4,1,1,0.026800
13,4,2,0,0.017600
13,4,2,1,0.026300
13,4,3,0,0.057300
13,4,3,1,0.020600
13,4,4,0,0.118000
13,4,4,1,0.008960
13,5,1,0,0.000000
13,5,1,1,0.000000
13,5,2,0,0.007120
13,5,2,1,0.035000
13,5,3,0,0.058900
13,5,3,1,0.002210
13,5,4,0,0.000000
13,5,4,1,0.068000
13,6,1,0,0.094300
13,6,1,1,0.107000
13,6,2,0,0.059100
13,6,2,1,0.023900
13,6,3,0,0.070100
13,6,3,1,0.041600
13,6,4,0,0.039000
13,6,4,1,0.032700
13,7,1,0,0.165000
13,7,1,1,0.148000
13,7,2,0,0.219000
13,7,2,1,0.142000
13,7,3,0,0.227000
13,7,3,1,0.153000
13,7,4,0,0.252000
13,7,4,1,0.138000
,,,,
